Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term (months),Default_Status (Yes/No)
100107,29,182580,22682,340,12,No
100108,28,45464,41870,620,24,No
100109,32,36260,22288,634,48,No
100110,54,144997,40794,459,24,No
100111,53,55440,44477,563,24,No
100112,43,115082,29405,829,36,No
100113,44,125583,43737,776,24,No
100114,57,76683,7620,651,36,Yes
100115,55,144206,40414,844,12,Yes
100116,64,192502,42633,509,12,No
100117,60,153059,40057,795,36,No
100118,42,176177,45138,681,12,No
100119,47,98484,18854,780,48,No
100120,55,164098,14677,304,12,No
100121,21,88309,49111,333,36,No
100122,55,65927,29074,444,48,No
100123,57,62946,22824,650,24,No
100124,34,146503,5765,764,24,No
100125,23,161449,36615,647,24,No
100126,21,73592,41860,424,36,No
100127,25,158419,17975,570,24,No
100128,46,53776,14341,656,12,No
100129,34,154855,33141,826,24,No
100130,59,75798,17334,797,60,No
100131,47,155370,20835,452,60,No
100132,29,90204,31548,352,24,No
100133,35,106207,40434,448,24,No
100134,35,120356,30039,802,60,No
100135,46,80652,37530,749,24,No
100136,62,185556,43736,518,48,No
100137,33,149572,45409,576,60,No
100138,52,40922,23565,751,36,No
100139,59,185100,14834,727,60,Yes
100140,52,171388,41656,382,12,Yes
100141,24,96996,5840,517,48,No
100142,50,168040,18873,826,36,No
100143,57,50266,36568,703,24,No
100144,43,175072,15846,589,12,No
100145,59,165083,10899,719,12,No
100146,35,22866,25502,638,48,No
100147,63,132669,5565,718,36,No
100148,49,25898,43773,506,12,No
100149,56,38395,46924,564,36,No
100150,33,190091,48242,335,36,No
100151,52,24006,14187,672,12,No
100152,27,185465,12226,787,36,No
100153,42,30956,47147,558,48,No
100154,48,157150,43658,830,12,No
100155,22,180703,9311,322,48,Yes
100156,62,115676,49214,403,48,No
100157,26,141724,46616,540,36,No
100158,48,82901,30689,552,36,No
100159,48,127227,11083,441,12,No
100160,64,137192,17598,750,24,Yes
100161,64,192646,21940,606,12,No
100162,40,51417,31880,799,48,No
100163,50,108020,7580,307,36,No
100164,31,103639,47321,368,48,No
100165,48,114881,14386,367,60,No
100166,45,190526,24522,707,60,No
100167,59,152659,31224,817,48,No
100168,53,141688,19635,418,24,Yes
100169,21,135584,5671,330,24,No
100170,47,106567,38545,817,12,No
100171,33,95886,31855,782,12,Yes
100172,61,169888,40790,506,12,No
100173,23,49432,19260,686,36,No
100174,59,199689,6074,711,24,No
100175,26,92373,47676,669,48,Yes
100176,28,185289,14475,652,60,No
100177,47,40884,17878,635,24,No
100178,29,25454,20120,588,24,Yes
100179,57,94960,28147,439,24,No
100180,53,122421,6986,599,12,No
100181,62,63618,48593,312,36,Yes
100182,64,67111,37430,727,48,No
100183,44,190685,46961,699,12,No
100184,35,140592,22430,408,36,No
100185,52,79993,7176,784,24,No
100186,52,148652,23722,655,36,No
100187,44,159920,47815,448,12,No
100188,61,98672,23617,606,24,No
100189,32,86125,32115,832,12,Yes
100190,59,137509,42376,359,48,No
100191,22,81602,16906,734,24,No
100192,23,62222,45002,320,36,No
100193,57,69223,11610,681,12,No
100194,37,85333,48292,544,60,No
100195,22,142650,18411,372,36,Yes
100196,22,69420,14180,748,36,No
100197,48,95504,15073,375,24,No
100198,43,22462,42251,689,36,Yes
100199,57,29460,35960,641,12,No
100200,52,119319,10901,589,60,No
100201,53,160347,43897,630,48,No
100202,21,164341,48183,558,60,No
100203,39,149593,9482,725,12,No
100204,22,142672,47454,305,24,No
100205,64,92920,30428,305,12,No
100206,46,42553,12400,490,36,No
100207,52,175438,44574,447,24,No
100208,26,64036,48284,704,48,No
100209,52,168441,12396,557,48,No
100210,24,162867,12338,778,12,No
100211,31,90021,47718,389,36,No
100212,37,127205,17500,309,48,No
100213,58,181215,16545,386,60,No
100214,44,180497,10241,450,24,No
100215,25,108209,28778,329,60,No
100216,54,95139,27821,427,48,No
100217,26,25368,9695,377,48,No
100218,42,155693,16530,720,12,No
100219,31,78829,19318,354,12,No
100220,36,149036,27331,779,24,No
100221,53,34719,31355,604,12,No
100222,29,49227,16324,845,36,No
100223,26,129430,33149,404,24,Yes
100224,36,158638,8218,471,36,No
100225,49,32306,25141,798,12,No
100226,23,73822,41784,321,24,Yes
100227,40,44042,7837,586,48,No
100228,56,166158,44802,690,60,No
100229,39,168459,45077,448,48,No
100230,46,178114,19379,571,36,No
100231,23,109424,9239,598,48,No
100232,39,169395,49896,471,48,No
100233,40,38019,25812,346,60,Yes
100234,52,95426,34669,506,60,Yes
100235,27,60863,14611,752,48,Yes
100236,61,131023,9150,694,60,Yes
100237,53,161355,16109,600,48,No
100238,60,169351,39214,475,24,No
100239,59,66999,31016,409,48,No
100240,38,82780,16936,501,12,Yes
100241,60,42908,16036,467,60,No
100242,21,146278,44236,385,60,No
100243,31,133002,19021,350,36,No
100244,48,189024,41943,411,36,Yes
100245,45,120706,42848,762,12,No
100246,43,188735,20471,741,60,No
100247,51,142019,28244,570,60,No
100248,50,129708,43985,643,36,No
100249,62,199001,43440,482,36,No
100250,55,29343,6502,802,48,No
100251,27,96173,39178,309,60,No
100252,36,120260,8770,793,60,No
100253,46,190863,47865,533,48,No
100254,22,180206,9001,597,60,No
100255,21,198173,25946,543,12,No
100256,32,89443,5598,808,36,No
100257,25,77530,35316,650,36,No
100258,57,197871,30567,566,36,No
100259,52,155899,31508,500,24,Yes
100260,29,116143,48744,538,12,No
100261,61,164771,44159,633,12,No
100262,55,134527,35276,714,48,No
100263,39,156385,28671,783,24,Yes
100264,36,164670,21450,736,60,Yes
100265,23,131362,19908,545,12,No
100266,40,48807,49358,307,24,No
100267,44,196298,40518,451,24,Yes
100268,53,79550,36212,691,12,No
100269,44,23558,47684,510,48,No
100270,31,70113,11806,666,24,No
100271,28,72999,44197,385,36,Yes
100272,56,187415,45891,354,24,No
100273,58,78219,23015,745,60,No
100274,60,186258,44220,603,12,No
100275,40,188038,22158,431,60,No
100276,55,184841,20456,720,48,No
100277,45,73218,32588,684,36,No
100278,55,39229,27491,497,12,Yes
100279,45,95209,29188,346,24,Yes
100280,49,47877,32079,502,36,No
100281,38,117137,9019,560,24,Yes
100282,38,58084,17419,323,48,Yes
100283,22,101780,38697,639,12,No
100284,55,167878,24396,711,48,No
100285,36,57034,44032,560,48,No
100286,61,191389,34892,585,48,No
100287,56,75468,12973,812,48,No
100288,53,170166,47465,385,24,No
100289,24,30589,26113,729,60,Yes
100290,53,77221,16136,330,24,Yes
100291,34,21657,24203,739,36,Yes
100292,41,118300,36285,648,48,Yes
100293,40,137229,28039,711,36,No
100294,28,59531,6184,827,24,No
100295,27,72227,27727,609,48,No
100296,23,23164,21911,695,24,No
100297,37,113078,5916,637,48,No
100298,53,61247,8574,736,24,No
100299,32,170673,41087,664,12,Yes
100300,42,70599,22790,412,60,No
100301,42,155624,22625,475,60,No
100302,50,160489,10206,448,48,Yes
100303,58,88207,24517,477,12,No
100304,58,92055,42696,681,36,No
100305,28,122266,21105,522,12,No
100306,47,98270,40656,558,48,No
100307,47,131426,7690,488,12,No
100308,54,154794,41859,605,36,No
100309,41,90442,5690,677,48,No
100310,50,115632,30103,642,60,No
100311,53,191103,39263,455,12,No
100312,48,41438,16085,354,60,Yes
100313,53,78819,30825,741,60,No
100314,25,63856,15720,499,24,No
100315,39,184648,43641,702,36,No
100316,24,61938,42271,476,12,No
100317,55,79807,16720,748,60,No
100318,37,69877,5897,840,60,No
100319,64,63461,22094,600,36,No
100320,48,113474,41463,606,60,No
100321,50,191541,40454,566,60,No
100322,49,103136,28572,513,60,No
100323,26,40435,43546,782,60,No
100324,55,165263,20150,561,24,No
100325,61,104726,21799,366,24,No
100326,57,178458,14663,432,48,No
100327,44,182793,41948,839,12,Yes
100328,49,74786,42030,811,36,Yes
100329,51,33704,32007,510,48,No
100330,55,76635,40283,552,24,No
100331,53,153195,30671,337,24,No
100332,41,110710,30385,342,24,No
100333,52,82993,16236,704,48,No
100334,43,132752,27024,345,24,No
100335,53,176488,44384,753,48,Yes
100336,23,152886,22376,604,24,No
100337,38,98537,42138,532,60,No
100338,45,70258,23157,544,60,No
100339,62,167580,24945,594,12,No
100340,51,105166,41584,682,24,No
100341,23,133710,28017,457,12,No
100342,60,55699,6756,704,48,Yes
100343,44,66335,40141,300,12,No
100344,52,66806,7576,516,24,No
100345,42,97853,30467,806,48,No
100346,43,55739,41952,329,48,No
100347,22,54785,36205,819,60,No
100348,47,183052,40165,574,48,No
100349,62,105016,17674,791,48,Yes
100350,22,152681,48094,335,12,No
100351,46,86253,48314,610,48,No
100352,37,111128,27353,343,36,Yes
100353,60,179213,34849,454,60,Yes
100354,53,181081,9535,376,60,No
100355,29,147581,46936,737,48,No
100356,63,130966,22118,731,12,No
100357,59,157854,5632,841,60,No
100358,49,119352,18280,338,60,No
100359,62,177005,19746,538,36,No
100360,46,97154,42036,312,48,No
100361,55,159379,24285,421,60,No
100362,45,128297,23047,443,60,No
100363,44,58346,15207,754,60,No
100364,33,132138,10591,667,60,Yes
100365,27,70772,32757,546,12,No
100366,56,60149,21226,344,24,Yes
100367,40,106700,34732,674,36,No
100368,21,178598,32206,590,12,No
100369,28,116758,25256,506,36,No
100370,36,148447,38822,818,60,No
100371,34,25695,46340,541,36,No
100372,32,59169,48351,413,48,No
100373,43,67947,45775,601,48,No
100374,35,198296,14784,575,24,No
100375,48,65865,42029,395,24,No
100376,54,176625,40157,593,36,No
100377,22,124501,24937,659,12,No
100378,52,80410,16219,587,12,No
100379,43,123754,14399,453,60,No
100380,42,110895,38312,722,12,Yes
100381,45,175888,32657,349,24,No
100382,42,70705,25047,506,12,No
100383,42,135700,40007,512,60,No
100384,62,93914,15559,365,48,Yes
100385,26,21881,25157,531,12,No
100386,35,190639,40395,619,12,No
100387,63,67365,11618,436,24,Yes
100388,57,99211,49891,364,36,No
100389,53,176078,11780,813,48,Yes
100390,28,61198,32050,431,36,No
100391,64,173903,13015,633,60,No
100392,64,120649,8130,331,60,No
100393,25,167531,33083,797,36,No
100394,59,183515,21480,542,24,No
100395,24,193388,40476,491,24,Yes
100396,26,156949,43165,441,24,No
100397,52,59553,16528,490,48,No
100398,50,155994,10914,448,60,No
100399,55,142778,42136,715,60,Yes
100400,60,137018,16179,819,60,Yes
100401,36,155758,25472,315,48,No
100402,33,52766,17076,405,60,No
100403,62,52006,29783,582,36,No
100404,50,51422,18824,403,12,No
100405,39,136590,9299,660,48,No
100406,37,32205,13118,334,12,No
100407,39,174599,15756,412,36,No
100408,48,169515,12953,607,24,No
100409,46,167596,42552,352,24,No
100410,57,136477,20185,380,24,No
100411,46,48202,46792,668,48,No
100412,43,197214,19674,541,24,No
100413,29,81692,49476,330,48,No
100414,32,40855,38927,660,48,Yes
100415,21,45095,5386,532,12,Yes
100416,21,189796,31617,333,24,No
100417,54,69241,12192,542,60,Yes
100418,52,123119,15745,358,24,No
100419,45,72003,35020,828,24,Yes
100420,60,114837,47678,377,24,No
100421,21,114283,26159,601,60,No
100422,36,167044,8409,411,60,Yes
100423,59,143805,30745,712,48,No
100424,25,113846,34455,616,60,No
100425,42,42927,43910,444,48,No
100426,49,140589,43735,317,12,No
100427,23,135657,34166,650,48,Yes
100428,32,86630,44973,454,24,No
100429,46,124428,33072,805,36,No
100430,36,142035,17109,659,36,No
100431,57,146244,7484,631,24,No
100432,42,89518,39622,827,48,Yes
100433,49,196355,49399,311,24,No
100434,34,101326,7597,374,60,No
100435,48,163277,45597,511,48,Yes
100436,25,140243,45954,582,24,No
100437,50,32748,8983,494,60,No
100438,25,172169,44452,329,60,Yes
100439,32,154164,48151,308,48,No
100440,36,73311,22040,608,12,No
100441,46,42692,49772,744,12,No
100442,46,144954,35554,609,60,No
100443,41,174934,32916,725,12,No
100444,59,150035,49871,390,60,No
100445,56,99507,31372,755,12,Yes
100446,53,100152,44080,743,60,No
100447,50,24926,45706,378,60,No
100448,57,23969,47722,774,60,No
100449,43,55733,34048,402,60,No
100450,30,89855,24669,755,36,No
100451,25,61743,14777,613,12,No
100452,56,150193,41331,546,60,No
100453,54,190948,25968,533,24,No
100454,51,127445,42809,534,48,No
100455,30,40323,16292,686,24,No
100456,39,36428,45794,337,24,No
100457,52,54578,18923,460,36,No
100458,21,106486,32703,761,12,No
100459,25,84140,23657,748,36,Yes
100460,24,127325,8629,416,12,No
100461,36,103829,7114,540,60,No
100462,44,26364,39445,325,36,No
100463,36,148867,40862,597,48,No
100464,22,186421,30574,453,12,Yes
100465,48,151763,37349,767,36,No
100466,52,115598,27257,348,48,No
100467,47,196968,40052,345,24,No
100468,40,77062,42820,584,60,No
100469,44,164933,22973,381,60,No
100470,32,108302,30737,343,24,No
100471,55,83928,17047,572,36,No
100472,53,61347,27113,693,24,Yes
100473,53,23121,5694,357,48,No
100474,63,103793,20588,300,12,No
100475,57,48164,25067,515,36,Yes
100476,32,45491,11704,616,12,No
100477,23,79222,45136,527,24,No
100478,21,174237,6971,772,60,No
100479,53,23748,45823,783,12,No
100480,60,46553,16441,586,12,No
100481,30,136547,36476,810,60,No
100482,63,80380,19677,757,12,No
100483,64,64331,32818,394,12,No
100484,49,140617,6868,792,60,No
100485,33,59560,23055,449,60,No
100486,32,73865,6728,322,24,No
100487,51,197758,12632,514,24,Yes
100488,22,95910,17043,698,12,No
100489,55,155747,11403,709,36,Yes
100490,43,97986,20732,430,24,No
100491,37,30068,23526,447,24,No
100492,46,74460,14340,680,36,No
100493,28,120766,43952,408,36,Yes
100494,49,66418,27394,420,60,No
100495,46,46206,38021,594,24,No
100496,30,148180,9102,419,48,No
100497,46,20287,41310,755,48,No
100498,54,42337,24159,829,12,No
100499,61,171738,11212,468,24,No
100500,27,152233,36824,442,48,No
100501,24,120667,42405,336,24,No
100502,31,110071,16525,560,24,No
100503,49,118064,33760,530,48,No
100504,56,189823,49239,553,24,No
100505,45,126511,32457,628,36,No
100506,41,165830,15532,596,12,Yes
100507,56,23178,18518,309,60,No
100508,30,51831,11476,745,48,No
100509,57,153248,24743,529,60,No
100510,29,123306,6004,835,12,No
100511,44,184726,48054,377,36,No
100512,55,177699,42485,724,36,No
100513,55,132025,8271,492,36,Yes
100514,56,195982,5209,700,36,No
100515,38,110417,30463,408,48,Yes
100516,59,186494,10539,562,48,No
100517,52,31984,24977,628,24,No
100518,44,109312,13606,662,24,No
100519,43,103291,49384,677,12,Yes
100520,52,27135,39052,640,24,No
100521,57,20320,8148,558,12,No
100522,32,172756,38536,634,12,Yes
100523,33,108774,10607,384,12,Yes
100524,43,172961,24586,821,36,No
100525,45,118071,34250,607,60,Yes
100526,55,199971,23594,561,60,No
100527,61,161842,12399,751,48,No
100528,50,190393,30117,550,12,No
100529,37,129863,38126,623,36,Yes
100530,40,61777,38617,528,24,No
100531,45,66250,12498,596,24,No
100532,42,93034,42290,536,48,No
100533,33,124940,14628,516,48,No
100534,39,60130,5329,545,12,No
100535,56,153609,43619,747,12,No
100536,32,35216,12032,618,24,No
100537,61,104149,43034,731,24,No
100538,39,23009,42122,703,24,Yes
100539,32,109904,25622,336,24,Yes
100540,29,180399,33584,641,60,No
100541,27,165281,9722,688,12,No
100542,48,199515,22772,333,12,No
100543,34,35029,25569,338,24,Yes
100544,51,122171,46679,508,36,No
100545,39,134456,8235,451,24,No
100546,36,82559,9576,664,48,No
100547,25,84892,31707,498,36,No
100548,55,90409,38868,378,48,No
100549,32,159707,46632,776,36,No
100550,45,53065,46476,733,48,No
100551,41,140544,35285,331,24,No
100552,56,127340,29154,386,24,No
100553,43,53783,25054,692,36,No
100554,36,54152,22165,543,48,No
100555,59,78741,19439,531,60,No
100556,62,127049,49518,491,36,No
100557,59,49092,27515,839,36,No
100558,34,168725,31962,569,12,No
100559,51,191541,47549,376,36,Yes
100560,25,106483,42763,466,60,Yes
100561,55,141585,49754,583,24,Yes
100562,43,79754,24464,388,48,No
100563,49,181050,47036,843,12,Yes
100564,63,107592,35413,455,48,No
100565,31,114543,38270,549,24,Yes
100566,38,63169,47299,394,36,No
100567,32,199359,25269,316,60,Yes
100568,29,74745,36541,416,12,No
100569,30,130168,13009,632,60,No
100570,64,133985,22007,821,60,No
100571,37,25543,31462,379,60,No
100572,58,41067,16542,731,60,No
100573,27,71033,22434,502,24,No
100574,33,65256,34765,415,60,Yes
100575,60,173263,28769,519,60,No
100576,62,106803,27465,552,24,No
100577,29,138843,26868,468,48,Yes
100578,47,48992,25156,615,24,Yes
100579,22,68803,25300,671,36,No
100580,25,129975,18435,455,24,No
100581,49,164282,9114,312,48,No
100582,57,46270,41135,807,36,No
100583,58,156269,13095,764,36,No
100584,39,27452,42909,519,12,No
100585,28,61486,8951,314,60,Yes
100586,21,34859,26468,416,36,No
100587,42,178308,32073,630,36,No
100588,37,182971,39341,355,48,Yes
100589,27,52083,7768,650,36,No
100590,45,87708,43070,431,48,No
100591,24,131462,38979,525,60,Yes
100592,56,167735,30351,607,12,No
100593,26,113076,20445,774,12,No
100594,51,39053,6160,521,60,No
100595,39,162157,27361,472,60,No
100596,64,181636,12041,639,24,No
100597,59,109745,23767,805,36,Yes
100598,47,89517,15846,456,36,No
100599,30,172225,43644,450,36,Yes
100600,46,156319,24924,477,48,No
100601,39,161625,18882,832,24,No
100602,59,171883,19738,411,36,No
100603,23,157207,26019,437,48,No
100604,33,156645,6095,532,48,No
100605,48,99267,43669,631,12,No
100606,40,158261,45983,841,48,No
100607,48,100077,19123,606,60,No
100608,28,194718,33132,460,48,No
100609,61,96623,6079,701,60,No
100610,59,151004,34657,577,60,No
100611,21,73687,37375,619,12,No
100612,23,88312,29754,832,12,No
100613,33,127615,36153,796,48,No
100614,48,150976,23344,662,12,No
100615,45,47564,39241,671,12,Yes
100616,53,48835,42656,335,36,No
100617,58,27697,9979,602,48,No
100618,26,100165,6212,737,48,No
100619,64,168118,14001,331,48,No
100620,52,77823,18248,485,12,No
100621,41,29615,38187,473,12,No
100622,36,156132,20608,549,60,No
100623,41,150499,41427,578,24,Yes
100624,31,96436,36368,301,24,Yes
100625,57,140562,10283,493,24,No
100626,56,91117,30854,465,36,No
100627,55,54782,15715,409,12,No
100628,39,98533,21165,679,60,No
100629,40,92684,39108,584,60,No
100630,38,99558,31797,720,24,No
100631,61,101422,15584,412,36,No
100632,34,176328,19780,527,36,No
100633,35,181077,42905,770,24,No
100634,51,26638,26573,827,24,No
100635,21,57419,38359,795,12,No
100636,23,53377,5526,330,36,No
100637,36,126244,12855,461,60,No
100638,43,194188,48463,677,24,No
100639,31,187706,39060,745,12,No
100640,32,43382,34482,726,60,No
100641,30,173466,21571,803,36,No
100642,52,87789,36740,826,24,No
100643,36,130634,24142,831,24,No
100644,28,151936,30104,819,12,Yes
100645,58,119572,13625,333,12,No
100646,32,191294,44199,789,36,No
100647,44,164738,20926,722,24,No
100648,48,143664,36218,767,12,No
100649,28,172027,49472,323,24,No
100650,48,130674,31380,515,36,No
100651,56,123533,25566,354,24,No
100652,46,101845,38205,325,60,Yes
100653,28,89590,48548,580,24,Yes
100654,48,147775,34717,626,48,No
100655,48,86471,46756,485,48,No
100656,57,63298,30135,794,36,No
100657,61,68924,33164,311,36,No
100658,56,167781,13953,733,36,No
100659,47,29726,43562,507,60,No
100660,37,60542,8574,432,60,No
100661,29,171317,25169,638,24,No
100662,53,54753,26604,495,12,No
100663,40,99788,29134,561,48,No
100664,33,41316,28202,581,48,No
100665,48,104698,5684,668,48,No
100666,49,35960,42001,402,24,No
100667,33,50791,13007,482,24,Yes
100668,55,45216,40096,722,36,No
100669,26,183539,46787,308,12,No
100670,38,84427,14255,543,36,No
100671,25,132470,37262,692,24,No
100672,45,93290,23093,826,60,No
100673,22,67014,10782,336,36,No
100674,30,155150,6234,477,24,No
100675,50,70519,42973,371,24,No
100676,25,24042,39188,651,60,No
100677,53,69052,36996,448,60,No
100678,21,34389,34204,404,60,No
100679,38,115961,22152,520,12,No
100680,52,88111,47364,673,24,No
100681,31,125058,30019,817,60,No
100682,41,113715,24488,559,12,No
100683,46,70733,42123,598,48,Yes
100684,45,54754,24689,341,48,No
100685,42,169696,33506,791,48,No
100686,47,105886,22715,738,24,No
100687,33,177753,46029,346,12,Yes
100688,53,109524,18765,384,12,No
100689,54,101006,26942,357,48,No
100690,61,44704,43712,508,36,No
100691,55,114913,44894,547,48,Yes
100692,21,114108,43031,510,24,No
100693,41,27493,25478,338,48,No
100694,26,89639,27551,551,48,No
100695,48,74383,33072,712,12,No
100696,37,154066,40561,745,48,No
100697,25,67234,7892,351,60,No
100698,51,198363,38966,673,60,No
100699,25,148674,29395,825,36,No
100700,58,25594,23756,455,24,No
100701,23,27371,27174,841,24,No
100702,43,67315,39651,389,12,No
100703,57,147251,5797,650,24,Yes
100704,57,99526,13209,368,36,No
100705,30,167698,46003,462,60,No
100706,30,106005,26346,541,12,Yes
100707,39,125573,33024,794,60,No
100708,37,158202,34414,682,36,No
100709,41,157900,45818,351,12,No
100710,34,77514,10947,362,48,No
100711,29,168955,14617,808,24,No
100712,21,194131,25704,591,36,No
100713,33,194004,33702,390,12,No
100714,24,95986,6892,723,60,Yes
100715,21,105959,34754,664,12,No
100716,60,22035,8424,449,48,No
100717,52,129767,47218,570,36,No
100718,54,191817,18418,415,12,No
100719,48,37241,34886,815,36,No
100720,51,72975,39783,540,36,No
100721,28,174226,28057,329,60,No
100722,59,176697,9833,442,24,No
100723,46,196022,14894,625,48,No
100724,54,76396,46833,315,12,No
100725,23,138920,5565,410,24,Yes
100726,32,164403,45180,406,60,No
100727,21,106226,23402,678,24,No
100728,64,104719,47845,461,36,No
100729,25,83014,15315,582,36,No
100730,50,59346,17834,568,48,No
100731,50,90411,7314,783,12,Yes
100732,37,163326,42180,372,12,No
100733,43,179693,8883,496,60,No
100734,35,96441,49152,542,48,No
100735,57,66121,15051,558,12,Yes
100736,41,80197,45984,448,36,No
100737,34,104577,16695,689,48,No
100738,22,114634,28123,715,24,No
100739,31,193503,12902,725,48,No
100740,59,120211,22573,516,48,No
100741,58,155909,34374,385,12,No
100742,54,163687,17288,515,60,No
100743,58,21466,11884,722,60,No
100744,54,50771,15559,619,12,No
100745,38,103886,23125,417,12,No
100746,50,85911,8688,714,12,No
100747,35,171818,28869,339,60,No
100748,47,108422,43137,460,12,No
100749,54,93369,49706,836,24,No
100750,58,21893,9023,719,24,No
100751,53,50573,22100,394,36,No
100752,44,116907,41735,741,24,Yes
100753,35,191946,12423,765,48,No
100754,50,119956,44218,587,36,No
100755,62,138580,17213,711,24,No
100756,37,184439,40983,699,48,Yes
100757,25,172271,38158,827,24,No
100758,49,111404,33460,317,48,Yes
100759,24,77724,36017,435,12,No
100760,30,106133,38000,763,48,No
100761,37,187477,31502,547,12,No
100762,30,35989,35990,300,48,No
100763,37,48931,24515,680,48,No
100764,40,29290,34991,808,24,No
100765,44,189439,12634,759,48,No
100766,25,141136,16498,804,24,No
100767,54,99878,15916,775,48,No
100768,26,110477,34377,331,60,No
100769,22,146299,38001,417,36,No
100770,33,181205,6391,483,24,No
100771,63,125686,48852,490,24,No
100772,63,178124,47215,373,12,No
100773,31,127286,19184,402,60,No
100774,43,60475,32114,719,12,No
100775,36,102666,16882,772,60,No
100776,51,116622,22273,413,60,No
100777,31,155705,45670,678,48,Yes
100778,36,168376,22129,612,12,No
100779,28,127573,47679,629,36,Yes
100780,24,66546,5427,638,60,No
100781,60,27008,36416,537,60,No
100782,24,68291,5731,472,24,Yes
100783,45,178477,5799,378,48,No
100784,23,56386,33873,763,36,Yes
100785,52,110909,12025,800,60,No
100786,23,171899,19481,584,24,No
100787,47,53040,30411,522,12,No
100788,49,80354,36358,565,60,No
100789,52,98543,45392,672,24,No
100790,39,38157,19961,532,12,No
100791,41,55315,26767,535,48,No
100792,25,55932,46000,613,12,No
100793,38,172236,41135,679,60,No
100794,48,165486,26392,719,36,No
100795,62,165399,18262,351,12,No
100796,42,133880,10229,808,36,No
100797,41,152018,28772,504,36,No
100798,26,34693,23799,556,12,No
100799,21,47241,28555,484,48,No
